fid	X2000	Y2000	v_m	ALD_m	Exx	Eyy	Yxy
2439	5568333,9	5717051,9	-26,4	-26,2	0,00324	0,07539	-0,10521
2455	5568080,8	5718194,3	-232,1	-19,8	-0,48177	-0,21635	-0,04092
2456	5568006,4	5717319,1	-77,5	-12	-0,17736	0,40141	0,04948
2462	5567324,6	5718782,9	-0,9	6,8	0,01921	-0,00973	-0,05949
2469	5568390,1	5716886,1	-2,7	-14	0,01031	0,01778	-0,05297
2490	5567714,7	5717608,9	-63,6	66,6	0,09322	-0,05929	0,61475
2503	5568529,2	5717125,8	-6,3	-30,9	0,03788	0,1475	-0,03108
2518	5568281,8	5716726,9	3,2	-8,1	0,0021	0,09328	0,03948
2526	5567414	5717067,2	-11,3	6,7	0,08835	0,05365	0,15487
2527	5568819,8	5718550,2	-7,4	-8,8	0,07708	0,12021	0,11143
2548	5569253,4	5717271,9	4,5	-19,2	-0,05522	-0,04674	0,01666
2568	5567311	5717605,9	9,4	22,4	0,01518	-0,04168	0,04589
2583	5567463,1	5717789,4	-13,4	31,5	0,1094	0,094	0,09815
2590	5568231,8	5718675,1	-45,1	1,8	0,01156	0,12976	0,11919
2591	5567318,5	5716864,3	-6,8	4,6	0,04209	-0,08446	-0,04491
2599	5568577,2	5717437	-64,2	-78,7	0,07407	-0,10401	-0,07285
2600	5567517,8	5716775,9	-0,4	17,1	0,01958	0,06542	0,03749
2614	5569040,8	5717387,2	-5,8	-20,8	0,05644	0,05287	-0,03069
2616	5568183,2	5717671,3	-271,9	-77,8	-0,30223	-0,4377	-0,4245
2629	5568984,1	5718469,9	-30	-17	0,0193	0,07943	0,0661
2638	5567178,2	5716985,9	-5,5	7,2	0,01668	-0,06091	-0,05195
2645	5568487,4	5717396,3	-76,8	-82,6	0,05244	-0,07004	-0,1639
2652	5568330,4	5716967,2	-44	-55,3	0,00043	0,05743	-0,06434
2653	5567329,7	5717244,7	-13,1	-0,1	0,06088	0,13866	0,13279
2659	5568165,7	5717738,5	-331,7	-123,2	-0,34414	-0,52597	-0,36137
2662	5567468,1	5717113,9	-0,9	9,5	0,06266	0,05431	0,20081
2665	5567142,1	5717324	4,5	18,9	0,01915	0,07527	0,03716
2668	5568145,7	5717594,6	-253,2	-64,1	-0,35817	-0,29202	-0,45078
2672	5567096,9	5718000,6	2,3	5,3	0,01089	-0,03776	-0,09117
2686	5567962,4	5718197,4	-160,8	69,8	-0,48523	-0,1668	-0,23772
2690	5567096,8	5717665,2	-3,8	1,8	0,03236	0,03973	-0,03755
2709	5568942,5	5718408	-20,1	-28	0,0657	0,06389	0,09587
2714	5568324,4	5717484,9	-174	-134,9	-0,0669	-0,06614	-0,35415
2728	5567798	5718113,5	-118,6	94,4	-0,26616	-0,27002	-0,19276
2755	5567153,8	5717472,9	-12,6	25,7	0,03127	0,00151	0,02232
2757	5568637,9	5718585,5	-36,6	-21,1	0,04846	0,14174	0,11014
2765	5568346,8	5718820,5	-14,6	-20,6	0,00903	0,04624	0,10612
2766	5568518,1	5716812,9	-22,4	-43	-0,01011	-0,01335	-0,05902
2769	5569024,1	5718021,1	15,3	-2,6	0,11027	-0,00978	0,06071
2770	5568538,5	5716930,9	-21,9	-28,7	0,00425	-0,00771	-0,0825
2781	5568431,1	5718808,3	-42	-13,6	0,02667	0,00538	0,04862
2782	5567758,9	5718105,9	-98,8	82,7	-0,20275	-0,25695	-0,13801
2792	5567581,7	5718273,6	-31,6	24,8	0,08127	-0,03122	-0,06903
2820	5567459,7	5717225	-9,1	13,2	0,04681	0,09674	0,13188
2842	5568387,9	5718802,6	-44,3	0,3	0,00998	0,02847	0,08261
2860	5568911,9	5718273,4	-3,5	-43,9	0,10915	-0,04214	0,13577
2871	5568317,8	5718632,1	-40	-10,4	-0,00983	0,1733	0,16997
2873	5567042,5	5718019,8	0,7	9,9	0,0011	-0,04006	-0,09608
2884	5567561,5	5718769	17,2	14,5	0,00412	0,00594	-0,03845
2904	5568241,4	5718692,4	-28,9	-19,9	0,02206	0,12185	0,13539
2910	5568447,1	5717439,7	-104,2	-97,1	0,05498	-0,09739	-0,20776
2923	5567110,8	5717279,8	10,3	8,9	0,00786	0,07698	0,00853
2925	5568244,1	5716943,7	-30,7	-35,5	-0,00528	0,06978	-0,01292
2926	5567453,8	5718576,6	-4,5	2,1	0,04527	0,01724	-0,03342
2927	5567554,4	5717747,5	-18	52,1	0,20147	0,09214	0,30077
2934	5567909,5	5716988,5	-32,2	6,3	-0,08142	0,06693	-0,04781
2944	5568213,1	5718639,6	-44	-33,4	-0,03437	0,15757	0,08936
2956	5567087,8	5716995,3	-6,8	-1,7	-0,00854	-0,0529	-0,05274
2965	5567815,7	5717315,1	-56,1	10,2	-0,07317	0,13418	0,32072
2970	5567366,3	5718307,2	-1,1	15,9	0,07077	0,0077	0,00431
2978	5567671,8	5716978,5	-24,4	5,8	-0,05193	0,04987	0,13323
2979	5568290,1	5717092,9	-35,8	-34,1	-0,0167	0,1188	-0,10638
2985	5568806,1	5718326,3	-8,6	-36,2	0,13506	0,01454	0,10028
2988	5568520,9	5717154,4	-12,1	-34,6	0,03878	0,14697	-0,03072
2997	5568524	5718659,9	-13,7	-15,9	0,03699	0,11955	0,07005
2998	5568850,2	5717596,7	-25,6	-54,5	0,08977	0,01089	-0,06232
3003	5569154,4	5718437,8	-24,9	-36,3	-0,00699	-0,00475	0,00303
3004	5568958,6	5717405,2	-8	-45,4	0,10121	0,01689	-0,05656
3007	5568842,1	5718404,7	-12,4	7,1	0,10921	0,08675	0,11286
3023	5568533,1	5716785,1	-13,9	-16,8	-0,02031	-0,00365	-0,05177
3026	5567471,2	5717242,2	-9,8	16,8	0,03326	0,07944	0,11571
3060	5568582,5	5716965	-19,9	-28,1	0,01333	0,03824	-0,01799
3066	5568237	5717526,2	-193,6	-111,2	-0,1818	-0,15727	-0,45189
3068	5568700,3	5717854,8	-87,2	-133,6	0,1453	-0,06772	-0,03454
3091	5569264,3	5716786,9	39,1	43	-0,00211	0,20576	0,06024
